,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
354,62305,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0
355,62471,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
356,62521,0,0,0,0,0,0,7,17,21,6,0,0,0,0,0,0,10,21,0
357,62526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
358,62568,0,0,0,0,0,0,7,6,16,0,0,0,0,0,0,0,6,15,0
359,62650,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0
360,62702,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0
361,62711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,62801,0,0,0,9,7,7,0,0,7,0,19,0,0,0,0,0,6,7,17
363,62901,0,12,0,0,0,0,0,7,8,10,6,0,0,0,0,0,11,15,0
364,62959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
